scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 5.383755040551357, 3, 5.596486431017723], meas_params:[-0.10209632076420763, -0.12529554969524298], noise_params:[0.0001, 0, 5.436609361690179], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.383755040551357, 5.596486431017723, -0.10209632076420763, -0.12529554969524298, 5.436609361690179], encoded_infidelity:0.0001331972156576322, benchmark_infidelity:0.00018118337173278487, diff:-4.7986156075152664e-05, ratio:0.735151434614407
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.725452611470884, 3, 6.995501816919523], meas_params:[-0.1304599825889198, -0.2786552219124553], noise_params:[0.0004, 0, 20.424990488751163], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[4.725452611470884, 6.995501816919523, -0.1304599825889198, -0.2786552219124553, 20.424990488751163], encoded_infidelity:0.0023823103127997847, benchmark_infidelity:0.002715007361021704, diff:-0.00033269704822191937, ratio:0.8774599829826172
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.399273891535319, 3, 5.011011237816925], meas_params:[-0.1424637431738125, -0.1701029841187448], noise_params:[0.0008, 0, 10.118376652441459], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[4.399273891535319, 5.011011237816925, -0.1424637431738125, -0.1701029841187448, 10.118376652441459], encoded_infidelity:0.005351503557985082, benchmark_infidelity:0.0026900616334297744, diff:0.002661441924555308, ratio:1.989360946783224
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.671140673305603, 3, 6.1946778665290125], meas_params:[-0.14263218452234416, -0.26356414100408926], noise_params:[0.0008, 0, 12.21259542089333], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[4.671140673305603, 6.1946778665290125, -0.14263218452234416, -0.26356414100408926, 12.21259542089333], encoded_infidelity:0.005172222693262896, benchmark_infidelity:0.003244792624061632, diff:0.0019274300692012636, ratio:1.594007165483699
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 3.9130780085761048, 3, 4.989663654379177], meas_params:[-0.08512648930736647, -0.19513133072284655], noise_params:[0.0008, 0, 15.096695287081882], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[3.9130780085761048, 4.989663654379177, -0.08512648930736647, -0.19513133072284655, 15.096695287081882], encoded_infidelity:0.0068459027921469184, benchmark_infidelity:0.004007613595201409, diff:0.0028382891969455093, ratio:1.7082242660180582
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.132948455096793, 3, 6.2538874192192555], meas_params:[-0.12431190920410745, -0.2801730406925437], noise_params:[0.0008, 0, 23.71959248330881], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[4.132948455096793, 6.2538874192192555, -0.12431190920410745, -0.2801730406925437, 23.71959248330881], encoded_infidelity:0.008227603823654506, benchmark_infidelity:0.006280451373633977, diff:0.0019471524500205284, ratio:1.3100338389999941
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.1381746855204, 3, 5.64112634629603], meas_params:[-0.08146918225549563, -0.24893335949370202], noise_params:[0.0006000000000000001, 0, 16.049933745931117], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[4.1381746855204, 5.64112634629603, -0.08146918225549563, -0.24893335949370202, 16.049933745931117], encoded_infidelity:0.0045626834707181985, benchmark_infidelity:0.003198425673841654, diff:0.0013642577968765446, ratio:1.4265404095627847
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.490806915159526, 3, 6.011697103313107], meas_params:[-0.11391382119017801, -0.2550342195648575], noise_params:[0.0006000000000000001, 0, 12.285684979031629], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[4.490806915159526, 6.011697103313107, -0.11391382119017801, -0.2550342195648575, 12.285684979031629], encoded_infidelity:0.0033936654192481264, benchmark_infidelity:0.002450358668108721, diff:0.0009433067511394055, ratio:1.3849668064583727
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 3.948090688542394, 3, 4.873301734982533], meas_params:[-0.08608918454005053, -0.19397368713817592], noise_params:[0.0006000000000000001, 0, 19.05707664404577], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[3.948090688542394, 4.873301734982533, -0.08608918454005053, -0.19397368713817592, 19.05707664404577], encoded_infidelity:0.005547593057520395, benchmark_infidelity:0.003795124355393864, diff:0.0017524687021265306, ratio:1.4617684528929373
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.294245610513194, 3, 6.449702090948941], meas_params:[-0.1234873703860021, -0.2788817284166988], noise_params:[0.0006000000000000001, 0, 24.321145244925845], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[4.294245610513194, 6.449702090948941, -0.1234873703860021, -0.2788817284166988, 24.321145244925845], encoded_infidelity:0.00533918779791398, benchmark_infidelity:0.004837718278904557, diff:0.0005014695190094232, ratio:1.1036582723711177
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.724145049261253, 3, 5.777093198456058], meas_params:[-0.09097241581538312, -0.23323044140241994], noise_params:[0.0005, 0, 10.040989518928175], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[4.724145049261253, 5.777093198456058, -0.09097241581538312, -0.23323044140241994, 10.040989518928175], encoded_infidelity:0.002434633534022068, benchmark_infidelity:0.0016703519711110948, diff:0.0007642815629109734, ratio:1.457557195207537
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.83163206704538, 3, 6.335634822091226], meas_params:[-0.14255035537798505, -0.25340378436172223], noise_params:[0.0005, 0, 10.930310190512529], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[4.83163206704538, 6.335634822091226, -0.14255035537798505, -0.25340378436172223, 10.930310190512529], encoded_infidelity:0.002295300537267786, benchmark_infidelity:0.0018179905359024806, diff:0.0004773100013653053, ratio:1.2625481221927048
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 3.849347396375518, 3, 5.094473380523349], meas_params:[-0.06297117687045081, -0.2040004077981592], noise_params:[0.0005, 0, 24.6367264677544], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[3.849347396375518, 5.094473380523349, -0.06297117687045081, -0.2040004077981592, 24.6367264677544], encoded_infidelity:0.005483039947118518, benchmark_infidelity:0.0040872180426562155, diff:0.0013958219044623021, ratio:1.3415090386406643
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[3, 4.457484031126642, 3, 6.89115603388382], meas_params:[-0.12353870393018107, -0.2841028126772416], noise_params:[0.0005, 0, 25.142620453649577], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[4.457484031126642, 6.89115603388382, -0.12353870393018107, -0.2841028126772416, 25.142620453649577], encoded_infidelity:0.0040607624628895556, benchmark_infidelity:0.00417075080163265, diff:-0.00010998833874309444, ratio:0.9736286477005437
